NOME,BAIRRO,RPA,REGIÃO,ENDEREÇO,LATITUDE,LONGITUDE,bairro_normalizado
LARGO DA ENCRUZILHADA-01,ENCRUZILHADA,2,NORTE,"R. Dr. José Maria, 52 - Encruzilhada, Recife - PE, 52081-430, Brazil",-8.0371559,-34.8919026,ENCRUZILHADA
LUIS INACIO PESSOA DE MELO,ROSARINHO,2,NORTE,"R. Couto Magalhães, S/N - Rosarinho, Recife - PE, 52041-330, Brazil",-8.0306641,-34.8948969,ROSARINHO
MERCADO AFOGADOS-01,AFOGADOS,5,SUDESTE,"Mercado Público-Box 357 - Estr. dos Remédios, S/N - Afogados, Recife - PE, 50770-120, Brazil",-8.07808351698442,-34.9064205600521,AFOGADOS
MERCADO BOA VISTA-01,BOA VISTA,1,CENTRO,"R. da Santa Cruz, 140 - Boa Vista, Recife - PE, 50060-230, Brazil",-8.06302976677828,-34.8887334027861,BOA VISTA
MERCADO BOA VISTA-02,BOA VISTA,1,CENTRO,"R. da Santa Cruz, 140 - Boa Vista, Recife - PE, 50060-230, Brazil",-8.06302976677828,-34.8887334027861,BOA VISTA
MERCADO BOA VISTA-03,BOA VISTA,1,CENTRO,"R. da Santa Cruz, 140 - Boa Vista, Recife - PE, 50060-230, Brazil",-8.06302976677828,-34.8887334027862,BOA VISTA
MERCADO CASA AMARELA-01,CASA AMARELA,3,NOROESTE,"R. Padre Lemos, 91-147 - Casa Amarela, Recife - PE, 52070-240, Brazil",-8.025808817359,-34.9177188583731,CASA AMARELA
MERCADO CASA AMARELA-02,CASA AMARELA,3,NOROESTE,"R. Padre Lemos, 88 - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.0258965539659,-34.9177300947022,CASA AMARELA
MERCADO CASA AMARELA-03,CASA AMARELA,3,NOROESTE,"R. Padre Lemos, 86 - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.02595865355741,-34.9177041901101,CASA AMARELA
MERCADO CASA AMARELA-04,CASA AMARELA,3,NOROESTE,"R. Padre Lemos, 94 - Box 95-96 - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.02594078661722,-34.9172373099013,CASA AMARELA
MERCADO CASA AMARELA-05,CASA AMARELA,3,NOROESTE,"R. Padre Lemos, 94 - Box 95-96 - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.02584140174805,-34.9172666308806,CASA AMARELA
MERCADO CASA AMARELA-06,CASA AMARELA,3,NOROESTE,"Mercado Público de Casa Amarela - box 27 - R. Padre Lemos - Casa Amarela, Recife - PE, 52070-200, Brazil",-8.02572749995797,-34.9172418208212,CASA AMARELA
MERCADO CORDEIRO-01,CORDEIRO,4,OESTE,"Av. Gen. San Martin, 163 - Jiquiá, Recife - PE, 50630-060, Brazil",-8.0515331524673,-34.9216563633609,CORDEIRO
MERCADO CORDEIRO-02,CORDEIRO,4,OESTE,"Rua Honório Correia, 251 - Cordeiro, Recife - PE, 50630-050, Brazil",-8.05170666249303,-34.9217609624722,CORDEIRO
MERCADO CORDEIRO-03,CORDEIRO,4,OESTE,"Rua Honório Correia, 251 - Cordeiro, Recife - PE, 50630-050, Brazil",-8.05188689763484,-34.921822091823,CORDEIRO
MERCADO CORDEIRO-04,CORDEIRO,4,OESTE,"R. Nissin Bensoussan, 136 - Cordeiro, Recife - PE, 50630-030, Brazil",-8.05164863510342,-34.9214489644981,CORDEIRO
MERCADO CORDEIRO-05,CORDEIRO,4,OESTE,"Av. Gen. San Martin, S/n - Cordeiro, Recife - PE, 50630-030, Brazil",-8.05169555500272,-34.9214187453745,CORDEIRO
MERCADO DOS COELHOS-01,COELHOS,1,CENTRO,"R. Dr. José Mariano, S/N - Boa Vista, Recife - PE, 50060-290, Brazil",-8.06584949666541,-34.8878464263196,COELHOS
MERCADO ENCRUZILHADA-01,ENCRUZILHADA,2,NORTE,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112478,ENCRUZILHADA
MERCADO ENCRUZILHADA-02,ENCRUZILHADA,2,NORTE,"R. Dr. José Maria, 616 - Encruzilhada, Recife - PE, 52041-015, Brazil",-8.03565480664902,-34.8974258112478,ENCRUZILHADA
