nome_equip_urbano,tipo_equip_urbano,endereco_equip_urbano,codigo_logradouro,lei_equip_urbano,nome_oficial_equip_urbano,area,perimetro,codigo_bairro,nome_bairro,latitude,longitude,area_m2,bairro_normalizado
Miguel De Cervantes,Praça,Rua Estado De Israel/Rua Capitao Jose  Da Luz,66672.0,3.340/55,Praça Miguel de Cervantes,"872,9275081","104,7369237",78,Ilha Do Leite,-8.066101465,-34.89327839,872.9275081,ILHA DO LEITE
Miguel De Cervantes,Praça,Rua Francisco Alves/Rua Jose De Alencar /Ruaantonio Gomes De Freitas,66672.0,3.340/55,Praça Miguel de Cervantes,"2104,794269","246,9475899",78,Ilha Do Leite,-8.066768098,-34.89357782,2104.794269,ILHA DO LEITE
Dom Jose Pereira Alves,Praça,Rua Manoel Elias/Rua Des Manoel De Sa Pereira/Rua Dom Jose Pereira Alves,72460.0,,Praça Dom José Pereira Alves,"695,7855432","111,4876446",680,Cordeiro,-8.049211071,-34.92536237,695.7855432,CORDEIRO
Dom Diogo Camarão,Praça,Rua Capitao Francisco Barreiras/Rua Capitao Manuel De Araujo Miranda,66311.0,10074/69,Praça Dom Diogo Camarao,"928,0450268","135,6480533",680,Cordeiro,-8.060342319,-34.92881848,928.0450268,CORDEIRO
Pantanal,Praca,Rua Capitao Gregorio De Albuquerque/Praca Pantanal/Rua Capitao Domingos Da Costa,79685.0,,Praça Pantanal,"684,8925334","123,6817051",850,Areias,-8.094827242,-34.93383621,684.8925334,AREIAS
Da Bandeira,Praça,Avenida Sport Clube Do Recife/ Rua Benfica/ Rua Chico Science,66109.0,02206/39,Praça da Bandeira,"2344,640792","185,890931",647,Madalena,-8.061391901,-34.90159021,2344.640792,MADALENA
Salgueiro,Praça,Rua Comendador Alvares De Carvalho/Rua Ribeirao/ Prc Salgueiro,66915.0,,Praça Salgueiro,"1250,396333","191,0809589",698,Iputinga,-8.042580862,-34.93823736,1250.396333,IPUTINGA
Da Esperança/ Largo Dona Suzana,Praça,Rua Joao Da Mata/Caratinga/Rosa Candida,71820.0,,Praça da Esperança,"539,1142959","98,67109183",671,Zumbi,-8.054287351,-34.91619183,539.1142959,ZUMBI
Euclides Da Cunha / Do Internacional,Praça,Rua Benfica /  Severino Pinheiro / Heitor Maia Filho,66451.0,10074/69,Praça do Internacional,"6259,305832","329,8503772",647,Madalena,-8.058381,-34.9035688,6259.305832,MADALENA
Camilo Pereira Carneiro,Praça,Avenida Getulio Vargas,89435.0,09515/65,Praça Camilo Pereira Carneiro,"68642,3295","1552,59103",752,Curado,-8.068604891,-34.94432198,68642.3295,CURADO
Da Rua Tijucal,Area Verde,Rua Tijucal/Avenida Norte Miguel Arraes De Alencar,,,,"593,3985494","93,31441478",582,Macaxeira,-8.013646924,-34.93138401,593.3985494,MACAXEIRA
,Area Verde,Rua Dr. Abel Ventura /  Rua Fernando Benvindo Da Fonseca,,,,"5892,810202","353,0747886",450,Santana,-8.041435012,-34.91669427,5892.810202,SANTANA
Da Rua Da Aurora,Area Verde,Rua Da Aurora/ Avenida Norte Miguel Arraes De Alencar,,,,"40642,75388","2537,032196",108,Santo Amaro,-8.054397738,-34.87641698,40642.75388,SANTO AMARO
Cemitério De Santo Amaro,Area Verde,Rua Do Pombal/Rua Dos Palmares,,,,"119512,906","1384,029593",108,Santo Amaro,-8.049582688,-34.88498801,119512.906,SANTO AMARO
,Area Verde,Rua Dianopolis/Rua Odete Monteiro,,,,"979,9926409","189,3383183",680,Cordeiro,-8.046766289,-34.91858353,979.9926409,CORDEIRO
Da Conceição,Praça,Rua Morro Da Conceição,66214.0,,Praça da Conceição,"6368,164132","429,3131839",531,Morro Da Conceicao,-8.019349645,-34.91530281,6368.164132,MORRO DA CONCEICAO
,Area Verde,Rua Professora Maria Do Carmo Araujo/R Antonio Pereira/ R Dr Jose Ramos De Vasconcelos,,,,"10631,64778","406,6825512",817,San Martin,-8.071264414,-34.9252638,10631.64778,SAN MARTIN
