nome_equip_urbano,tipo_equip_urbano,endereco_equip_urbano,codigo_logradouro,lei_equip_urbano,nome_oficial_equip_urbano,area,perimetro,codigo_bairro,nome_bairro,latitude,longitude,area_m2,bairro_normalizado
Odília Freire Dos Santos,Praça,Avenida Montevideu/Avenida Governador Agamenon Magalhaes,75698.0,,Praça Odília Freire dos Santos,"601,2040913","145,3617069",86,Boa Vista,-8.04948682,-34.89307306,601.2040913,BOA VISTA
Aureo Xavier / Des Adauto C De Araujo,Praça,Rua Aureo Xavier/Rua Francisco Vita / R Dom Jose Pereira Alves,72494.0,,Praça Aúreo Xavier,"932,4062466","185,3837078",680,Cordeiro,-8.050663593,-34.92580564,932.4062466,CORDEIRO
Aureo Xavier/ Des Adauto C De Araujo,Praça,Rua Aureo Xavier/ R Dom Jose Pereira Alves/Estrada Do Forte Do Arraial Novo Do Bom Jesus,72494.0,,Praça Aúreo Xavier,"983,0115446","199,1709498",680,Cordeiro,-8.050232683,-34.92658325,983.0115446,CORDEIRO
Cosme Viana,Praça,Rua Padre Teofilo Tworz/ Rua Cosme Viana,119741.0,,Praça Cosme Viana,"1969,610315","223,2056459",779,Afogados,-8.065654813,-34.90883536,1969.610315,AFOGADOS
Industrial Miguel Santos,Praça,Rua Pedro Americo Galvao/Rua Baltazar Pereira,66532.0,15003/87,Praça Industrial Miguel Santos,"1476,884316","160,7590623",205,Boa Viagem,-8.101388665,-34.88607995,1476.884316,BOA VIAGEM
Esmeraldas,Praça,Rua Engenho Buranhem / Rua Engenho Cabucu / Rua Engenho Matapagipe,83437.0,,Praca Esmeralda,"1174,270711","134,9670144",884,Cohab,-8.114716636,-34.94712554,1174.270711,COHAB
Jockey Clube,Praça,Dentro Do Joquei Club,72320.0,,Praça Jockey Clube,"1557,964633","197,2120475",663,Prado,-8.061409382,-34.91336654,1557.964633,PRADO
São Francisco/ Amante Das Flores,Praça,Avenida Rio Sao Francisco / Rua Jaguaruna / Rua Caraubas,75167.0,13170/78,Praça São Francisco/Amante das Flores,"1558,139309","161,0271134",884,Cohab,-8.115585041,-34.94599427,1558.139309,COHAB
Conselheiro João Alfredo / Sobrado Grande,Praça,Rua Real Da Torre/ Rua Benfica,66460.0,,Praça Conselheiro João Alfredo,"364,7600437","106,0965431",647,Madalena,-8.057328865,-34.908882,364.7600437,MADALENA
Conselheiro João Alfredo,Praça,Rua Benfica/Avenida Caxanga,66460.0,,Praça Conselheiro João Alfredo,"296,9778153","85,17727315",647,Madalena,-8.056885206,-34.90932343,296.9778153,MADALENA
Do Anfiteatro,Praça,Rua Alto Do Reservatorio,123072.0,,Praça do Anfiteatro,"2206,708145","193,491258",566,Nova Descoberta,-8.001463173,-34.935715,2206.708145,NOVA DESCOBERTA
Chayenne,Praça,Avenida Beberibe/Rua Judith/ R Do Anil,123056.0,,Praça Chayenne,"1505,979271","285,6222272",361,Porto Da Madeira,-8.006060549,-34.8922996,1505.979271,PORTO DA MADEIRA
Castro Alves,Praça,Avenida Norte Miguel Arraes De Alencar/R Natividade Saldanha/Rua Marechal Deodoro,123048.0,,Praça Castro Alves,"2025,110578","213,3310986",175,Encruzilhada,-8.04000747,-34.88705319,2025.110578,ENCRUZILHADA
Bomba Do Hemeterio,Praça,Rua Bomba Do Hemeterio/ Rua Cha De Alegria,123897.0,,Praça Bomba do Hemetério,"869,8145619","122,9796797",426,Bomba Do Hemeterio,-8.020226629,-34.90323444,869.8145619,BOMBA DO HEMETERIO
Alfredo Ozório,Praça,Rua Alfredo Ozório / Rua São Vicente,123870.0,,Praça Alfredo Ozório,"342,7168446","96,85691092",191,Tamarineira,-8.029367443,-34.90649245,342.7168446,TAMARINEIRA
Ayrton Senna,Praça,Rua Engenho Bom Destino / R Engenho Agua Branca  / R Engenho Serra Grande / R Engenho Tres Marias,123030.0,,Praça Ayrton Senna,"989,175602","122,6085032",884,Cohab,-8.113411477,-34.951048,989.175602,COHAB
Virgilio De Oliveira,Praça,Rua Virgilio Oliveira/ Rua Monsenhor Lobo /Rua Tito Livio Soares,123765.0,,Praça Virgilio de Oliveira,"1470,53894","161,4697853",477,Poco,-8.037376007,-34.92241367,1470.53894,POCO
3º Jardim De Boa Viagem,Praça,Avenida Boa Viagem,123790.0,,Praça 3º Jardim de Boa Viagem,"1859,501519","355,1405553",205,Boa Viagem,-8.10823516,-34.88845837,1859.501519,BOA VIAGEM
Sargento  Max Wolf Filho,Praça,Rua Florentino Olimpio Dos Santos/Rua Sargento  Wolff,123196.0,,Praça Sargento Max Wolf Filho,"1231,986965","144,0222075",779,Afogados,-8.071654519,-34.9114084,1231.986965,AFOGADOS
Largo Dona Regina,Praça,Rua Bujaru/ Rua Nova Descoberta,123188.0,,Praça Largo Dona Regina,"470,8349635","108,6507577",566,Nova Descoberta,-8.018561394,-34.92618305,470.8349635,NOVA DESCOBERTA
Heiji Gemba,Praça,Rua Heiji Gemba,123099.0,,Praça Heiji Gemba,"290,4975636","135,3926032",205,Boa Viagem,-8.132921301,-34.90436301,290.4975636,BOA VIAGEM
Dr Alberto Wanderley,Praça,Avenida Cidade De Monteiro/Rua Dr Alberto Wanderley,123170.0,,Praça Doutor Alberto Wanderley,"232,2953399","72,66511271",361,Porto Da Madeira,-8.009162474,-34.88836702,232.2953399,PORTO DA MADEIRA
Gustavo Barrozo,Praça,Travessa Alto Da Serrinha/R Gustavo Barrozo,123080.0,,Praça Gustavo Barrozo,"97,09871192","40,44303139",388,Linha Do Tiro,-8.012405066,-34.91221086,97.09871192,LINHA DO TIRO
São Pedro,Praça,Rua Brazopolis/ Avenida Brasilia Formosa,123234.0,,Praça São Pedro,"501,3029252","109,1648354",256,Brasilia Teimosa,-8.088754849,-34.88035131,501.3029252,BRASILIA TEIMOSA
Poço Da Panela,Praça,Estrada Real Do Poco,123218.0,,Praça Poço da Panela,"1141,582813","167,294885",477,Poco,-8.037073095,-34.92546349,1141.582813,POCO
Sarturnino De Brito,Praça,Avenida Sartunino De Brito/Rua Bituri,123200.0,,Praça Saturnino de Brito,"827,2310477","108,7587717",51,Cabanga,-8.079493912,-34.89299581,827.2310477,CABANGA
Casa Forte,Praça,Rua Da Praca De Casa Forte,78271.0,,Praça de Casa Forte,"2184,94935","182,3709516",442,Casa Forte,-8.034613064,-34.9193523,2184.94935,CASA FORTE
